vertices,init,destroy,tarjan,user,system,elapsed,pCPU
51200,0.010647,0.000255,0.010006,0.01,0.00,0.02,100;
51200,0.010518,0.000262,0.010060,0.01,0.00,0.02,100;
51200,0.010425,0.000180,0.009855,0.01,0.00,0.02,95;
51200,0.010557,0.000185,0.010045,0.02,0.00,0.02,100;
51200,0.010299,0.000175,0.009961,0.01,0.00,0.02,95;
51200,0.010380,0.000191,0.010041,0.01,0.00,0.02,100;
51200,0.010602,0.000189,0.010010,0.01,0.00,0.02,95;
51200,0.010411,0.000189,0.009934,0.01,0.00,0.02,95;
51200,0.010536,0.000318,0.010089,0.01,0.00,0.02,95;
51200,0.010629,0.000180,0.009991,0.02,0.00,0.02,100;
51200,0.010576,0.000264,0.009952,0.01,0.00,0.02,95;
51200,0.010570,0.000206,0.009919,0.02,0.00,0.02,100;
51200,0.010336,0.000293,0.009982,0.01,0.00,0.02,95;
51200,0.010529,0.000261,0.009909,0.02,0.00,0.02,100;
51200,0.010441,0.000274,0.010108,0.02,0.00,0.02,100;
51200,0.010501,0.000179,0.009956,0.01,0.00,0.02,95;
51200,0.010327,0.000308,0.010253,0.01,0.00,0.02,95;
51200,0.010419,0.000178,0.009967,0.01,0.00,0.02,95;
51200,0.011402,0.000279,0.010040,0.01,0.00,0.02,100;
51200,0.010429,0.000173,0.009826,0.01,0.00,0.02,95;
51200,0.010368,0.000180,0.010328,0.01,0.00,0.02,95;
51200,0.010574,0.000185,0.009939,0.01,0.00,0.02,100;
51200,0.010482,0.000182,0.009956,0.01,0.00,0.02,100;
51200,0.010567,0.000317,0.010018,0.01,0.00,0.02,100;
51200,0.010446,0.000177,0.009849,0.02,0.00,0.02,100;
51200,0.010635,0.000193,0.010096,0.01,0.00,0.02,100;
51200,0.010504,0.000190,0.010283,0.02,0.00,0.02,100;
51200,0.010353,0.000209,0.009839,0.01,0.00,0.02,95;
51200,0.010675,0.000188,0.010150,0.02,0.00,0.02,100;
51200,0.010441,0.000182,0.009954,0.01,0.00,0.02,95;
51200,0.010418,0.000169,0.010169,0.01,0.00,0.02,100;
51200,0.010388,0.000254,0.010130,0.01,0.00,0.02,100;
51200,0.010555,0.000194,0.010187,0.01,0.00,0.02,100;
51200,0.010557,0.000278,0.009973,0.02,0.00,0.02,100;
51200,0.010460,0.000176,0.009889,0.02,0.00,0.02,100;
51200,0.010532,0.000181,0.010003,0.01,0.00,0.02,100;
51200,0.010337,0.000342,0.009889,0.01,0.00,0.02,95;
51200,0.010463,0.000187,0.010009,0.01,0.00,0.02,95;
51200,0.010534,0.000272,0.010094,0.02,0.00,0.02,100;
51200,0.010461,0.000173,0.009839,0.01,0.00,0.02,95;
51200,0.010605,0.000269,0.010169,0.02,0.00,0.02,100;
51200,0.010496,0.000221,0.010028,0.02,0.00,0.02,100;
51200,0.010404,0.000286,0.010212,0.01,0.00,0.02,100;
51200,0.010608,0.000189,0.010753,0.01,0.00,0.02,95;
51200,0.010540,0.000187,0.009943,0.02,0.00,0.02,100;
51200,0.010492,0.000182,0.010100,0.01,0.01,0.02,95;
51200,0.010473,0.000299,0.010079,0.01,0.00,0.02,95;
51200,0.010498,0.000186,0.010167,0.02,0.00,0.02,100;
51200,0.010540,0.000198,0.010123,0.02,0.00,0.02,100;
51200,0.010615,0.000182,0.010064,0.01,0.00,0.02,95;
51200,0.010498,0.000181,0.010126,0.01,0.00,0.02,95;
51200,0.010626,0.000182,0.010088,0.02,0.00,0.02,100;
51200,0.010504,0.000279,0.010102,0.02,0.00,0.02,100;
51200,0.010633,0.000183,0.010243,0.01,0.00,0.02,100;
51200,0.010598,0.000188,0.010079,0.01,0.00,0.02,95;
